Scene,Shot_Type,Shot_Title,Full_Prompt (Copy & Paste Ready)
1,A-ROLL,Black Canyon Before Construction - Wide,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Cinematic aerial wide shot descending into Black Canyon at dawn, 1931. Colorado River rushes violently through narrow gorge between sheer orange-red rock walls rising 800 feet. Camera slow drift toward waterline as harsh desert light breaks over eastern rim, illuminating stratified rock layers. Heat shimmer already visible rising from canyon floor."
1,B-ROLL,Black Canyon Before Construction - Rock Detail,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Close-up of sun-bleached canyon rock texture, deep vertical crack running through orange-red layered stone, morning light creating sharp shadow line in crevice, dust particles drifting."
2,A-ROLL,Surveying the Site - Engineers,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Ground-level tracking shot of engineers with theodolite and measuring equipment on canyon rim, studying gorge below. Workers in cloth caps and suspenders examine blueprints held down against desert wind. Dust swirls around boots, intense morning sun creating harsh shadows."
2,B-ROLL,Surveying the Site - Instrument Detail,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Close-up of gloved hands adjusting surveying instrument brass knobs, sunlight reflecting off polished metal, dust settling on equipment surface."
3,A-ROLL,Railroad Arrives - Locomotive,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Side tracking shot of steam locomotive pulling flatbed cars loaded with equipment into canyon construction site. Black smoke billows into clear desert air. Workers in fedoras and rolled sleeves unload steel sections, dust clouds rising with each impact on ground."
3,B-ROLL,Railroad Arrives - Wheel Detail,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Close-up of locomotive wheel on track, steel connecting rod moving, grease visible on mechanisms, dust coating metal surfaces."
4,A-ROLL,Tent City Rises - Camp,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Wide shot of worker tent city emerging on canyon rim. Canvas tents in rows, dirt pathways between, workers carrying supplies, children playing in dust, laundry hanging on lines. Depression-era poverty visible but organized camp structure. Smoke from cooking fires drifting."
4,B-ROLL,Tent City Rises - Canvas Detail,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Close-up of weathered canvas tent fabric billowing in wind, rope ties straining, dust accumulating in folds."
5,A-ROLL,River Diversion Begins - Tunnel Work,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Ground-level tracking shot following workers setting explosive charges in diversion tunnel wall. Pneumatic drills pierce rock in background (sparks flying), foreman signals with hand gestures, workers in cloth caps and rolled sleeves move with practiced coordination. Dust thick in artificial tunnel lighting from strings of bulbs."
5,B-ROLL,River Diversion Begins - Explosive Detail,"Ultra-realistic cinematic documentary style. 4K resolution, professional color grading. Muted vintage color palette with soft desaturation, subtle film grain, realistic natural lighting. Historically accurate 1930s environment, Depression-era vehicles, tools, and construction materials. Natural camera movement with professional cinematography: smooth dollies, crane shots, tracking movements, aerial perspectives. Realistic physics, authentic material behavior, grounded sense of massive scale and weight. Consistent period-appropriate color grading throughout all scenes.

Set in Black Canyon, Nevada-Arizona border, 1931-1936 Depression era. Clear desert atmosphere with extreme heat and intense sunlight, early diesel equipment, classic 1930s truck-era vehicles. Workers wear: cloth caps or fedoras, rolled sleeve cotton shirts (often sweat-stained), canvas trousers, leather suspenders, heavy leather boots, bandanas for dust, minimal safety equipment (leather gloves, occasional cloth caps). Advanced tool era for 1930s: pneumatic drills, steam shovels, diesel-powered trucks, cable systems, drilling equipment, concrete mixing equipment, basic electric lighting systems. No modern plastics, no contemporary safety equipment, no current construction techniques, no synthetic materials.

Desert arid environment: extreme solar exposure creating harsh shadows and bright highlights, heat shimmer distortion visible at midday, occasional dust devils swirling across canyon, minimal cloud cover with intense blue sky, clear starlit nights, extreme temperature swings (120°F+ days, cool nights), dust particles suspended in air catching light, strong winds through canyon creating dust clouds, minimal desert vegetation, bleached earth tones (deep orange-red canyon rock, rust-colored canyon walls, tan dirt, pale yellows). Colorado River roaring through canyon bottom. Equipment visibly heating in direct sun, metal surfaces too hot to touch, workers seeking shade during peak heat.

Absolute historical prohibition - exclude ALL anachronisms: Modern safety equipment (reflective vests, fall arrest systems, safety lanyards, modern hard hats with chin straps, safety glasses), digital devices, contemporary vehicles, current-era signage, modern construction techniques (current welding styles, contemporary concrete forms), anachronistic materials (modern plastics, contemporary composites, synthetic fabrics), modern tool designs (battery-powered tools, contemporary power tools), LED lighting, plastic materials (containers, sheeting, barriers), contemporary color schemes (high-visibility orange/yellow), modern fasteners (contemporary bolts, current zip ties), current generation equipment (modern diesel designs, contemporary hydraulics).

Warm muted color grading: Desaturate to 65% of full color, strong warm temperature (+350K amber shift), reduced contrast 20% with soft highlights creating heat glow, deep shadows with preserved detail. Primary color bias: Deep orange-red (canyon rock faces), rust and ochre (desert soil and dust), dusty yellow (intense sunlight), faded denim blue (workers' clothing and river), weathered brown (wood scaffolding and leather). Avoid: Cool blues except in sky and water, vivid greens, pure whites, deep blacks. Film grain: 35mm equivalent with visible structure, slight sepia undertone matching Depression-era Kodachrome.

Extreme close-up of gloved hands placing TNT stick into drilled hole, tamping wire down carefully, dust drifting past in artificial light beam."
